County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Nevada,2016,3.42,1,60501,NA,NA,5.4816666666666665
Orange,2008,-3.76,0,74862,NA,NA,0.9541666666666666
Orange,2009,-4.26,0,71735,NA,NA,0.67
Orange,2010,1.64,0,70727,0,2.4,2.0475
Orange,2011,2.38,0,72046,NA,NA,0.7891666666666667
Orange,2012,-3.32,0,71866,NA,NA,0.7183333333333333
Orange,2013,-4.45,0,73827,NA,NA,0.35083333333333333
Orange,2014,-6.16,0,76061,NA,NA,0.6358333333333334
Orange,2015,-3.31,0,78002,0,7.04,0.4925
Orange,2016,-4.22,0,81642,NA,NA,0.9099999999999999
Placer,2008,-4.27,1,75029,NA,NA,2.808333333333333
Placer,2009,-1.68,1,70751,NA,NA,3.2533333333333334
Placer,2010,3.09,1,68330,24.14,42.7,5.1450000000000005
Placer,2011,3.25,1,69581,NA,NA,3.345
Placer,2012,-0.15,1,69521,NA,NA,4.5808333333333335
Placer,2013,-2.1,1,73643,NA,NA,1.2166666666666668
Placer,2014,-2.61,1,75689,NA,NA,3.5025
Placer,2015,-3.19,1,76203,13.93,42.31,2.5833333333333335
Placer,2016,3.14,1,85326,NA,NA,4.773333333333333
Plumas,2008,-4.55,1,48770,NA,NA,2.5058333333333334
Plumas,2009,-1.84,1,42684,NA,NA,2.876666666666667
Plumas,2010,1.27,1,41421,23.8,45.31,4.4366666666666665
Plumas,2011,2.17,1,44923,NA,NA,2.998333333333333
Plumas,2012,-1.97,1,46450,NA,NA,4.3566666666666665
Plumas,2013,-3.09,1,47645,NA,NA,1.005
Plumas,2014,-4.06,1,47964,NA,NA,3.254166666666667
Plumas,2015,-4.01,1,46813,22.42,41.88,2.185833333333333
Plumas,2016,1.76,1,53646,NA,NA,4.395833333333333
Riverside,2008,-2.09,1,57590,NA,NA,0.7116666666666667
Riverside,2009,-3.47,1,55151,NA,NA,0.37166666666666665
Riverside,2010,-0.05,1,53981,178.44,215.77,1.1475
Riverside,2011,0.33,1,52491,NA,NA,0.5283333333333333
Riverside,2012,-1.79,1,52416,NA,NA,0.5175
Riverside,2013,-1.15,1,53909,NA,NA,0.4058333333333333
Riverside,2014,-3.35,1,56877,NA,NA,0.43583333333333335
Riverside,2015,-2.18,1,57895,113.51,205.43,0.4525
Riverside,2016,-3.05,1,59951,NA,NA,0.67
Sacramento,2008,-3.93,1,56882,NA,NA,1.2283333333333333
Sacramento,2009,-1.93,1,52502,NA,NA,1.45
Sacramento,2010,1.84,1,52655,92.46,148.25,2.0516666666666667
Sacramento,2011,2.85,1,52236,NA,NA,1.4491666666666667
Sacramento,2012,-1.06,1,52617,NA,NA,1.8816666666666666
Sacramento,2013,-3.08,1,52980,NA,NA,0.5341666666666667
Sacramento,2014,-4.45,1,55803,NA,NA,1.5741666666666667
Sacramento,2015,-3.72,1,58735,104.45,159.55,0.7966666666666666
Sacramento,2016,2.1,1,59728,NA,NA,1.8891666666666667
San Benito,2008,-3.14,1,64646,NA,NA,1.1808333333333334
San Benito,2009,-0.96,1,61281,NA,NA,1.2308333333333332
San Benito,2010,2.37,1,58194,11.37,52.86,2.091666666666667
San Benito,2011,2.57,1,62618,NA,NA,1.4508333333333332
San Benito,2012,-3.2,1,60577,NA,NA,1.3916666666666666
San Benito,2013,-5.07,1,66780,NA,NA,0.2941666666666667
San Benito,2014,-6.64,1,68166,NA,NA,1.3091666666666666
San Benito,2015,-4.42,1,76521,0.61,48.46,0.8433333333333334
San Benito,2016,-0.52,1,73298,NA,NA,1.4708333333333332
San Bernardino,2008,-1.97,1,54768,NA,NA,0.545
San Bernardino,2009,-3.4,1,52137,NA,NA,0.265
San Bernardino,2010,-0.07,1,52270,5.1,31.59,1.0058333333333334
San Bernardino,2011,0.67,1,51017,NA,NA,0.3975
San Bernardino,2012,-2.08,1,50603,NA,NA,0.42166666666666663
San Bernardino,2013,-1.8,1,52112,NA,NA,0.3641666666666667
San Bernardino,2014,-3.52,1,51951,NA,NA,0.40166666666666667
San Bernardino,2015,-2.19,1,53526,0.49,17.77,0.46166666666666667
San Bernardino,2016,-3.12,1,56194,NA,NA,0.55
San Diego,2008,-3.23,1,62820,NA,NA,1.2508333333333335
San Diego,2009,-3.82,1,60103,NA,NA,0.6875
San Diego,2010,1.94,1,59759,1.68,64.58,1.9816666666666667
San Diego,2011,1.72,1,59290,NA,NA,1.065
San Diego,2012,-2.24,1,60235,NA,NA,0.8166666666666667
San Diego,2013,-2.39,1,61365,NA,NA,0.655
San Diego,2014,-4.7,1,66034,NA,NA,0.6725
San Diego,2015,-1.49,1,67053,2.43,65.74,0.7566666666666667
San Diego,2016,-2.5,1,70693,NA,NA,1.0975
San Francisco,2008,-3.18,0,73127,NA,NA,1.6341666666666668
San Francisco,2009,1.23,0,70247,NA,NA,1.8775
San Francisco,2010,1.62,0,70883,0,0,2.8033333333333332
San Francisco,2011,2.38,0,69354,NA,NA,1.7633333333333332
San Francisco,2012,1.45,0,72093,NA,NA,2.5725
San Francisco,2013,-3.53,0,76933,NA,NA,0.5175
San Francisco,2014,-3.04,0,83788,NA,NA,2.395
San Francisco,2015,-3.94,0,90527,0,0,0.9291666666666667
San Francisco,2016,1.24,0,101873,NA,NA,2.404166666666667
San Joaquin,2008,-4.46,1,54350,NA,NA,0.8375
San Joaquin,2009,-3.23,1,52201,NA,NA,0.975
San Joaquin,2010,1.32,1,49742,351.71,738.76,1.58
San Joaquin,2011,2.62,1,50376,NA,NA,0.9675
San Joaquin,2012,-3.09,1,50431,NA,NA,1.3066666666666666
San Joaquin,2013,-3.49,1,51219,NA,NA,0.4216666666666667
San Joaquin,2014,-5.34,1,51527,NA,NA,1.2
San Joaquin,2015,-3.83,1,53341,223.17,551.73,0.6408333333333334
San Joaquin,2016,2.23,1,59038,NA,NA,1.5275
San Luis Obispo,2008,-3.04,1,60088,NA,NA,1.1925000000000001
San Luis Obispo,2009,-1.11,1,55638,NA,NA,1.1258333333333332
San Luis Obispo,2010,2.41,1,53620,23.77,114.3,2.2875
San Luis Obispo,2011,4.08,1,53877,NA,NA,1.29
San Luis Obispo,2012,-2.59,1,58427,NA,NA,1.1583333333333334
San Luis Obispo,2013,-4.97,1,57743,NA,NA,0.26
San Luis Obispo,2014,-6.14,1,61775,NA,NA,1.015
San Luis Obispo,2015,-4.09,1,61761,1.78,102.26,0.5541666666666667
San Luis Obispo,2016,-1.86,1,69517,NA,NA,1.3383333333333334
San Mateo,2008,-3.8,1,84879,NA,NA,1.8666666666666667
San Mateo,2009,0.08,1,84678,NA,NA,2.035
San Mateo,2010,1.58,1,82413,0,4.68,2.955
San Mateo,2011,3.05,1,81378,NA,NA,1.9116666666666666
San Mateo,2012,0.25,1,81568,NA,NA,2.7641666666666667
San Mateo,2013,-3.74,1,91061,NA,NA,0.5158333333333334
San Mateo,2014,-4.16,1,100806,NA,NA,2.379166666666667
San Mateo,2015,-3.84,1,101133,0,4.78,1.1725
San Mateo,2016,0.94,1,107075,NA,NA,2.756666666666667
Santa Barbara,2008,-2.44,1,60645,NA,NA,1.7016666666666667
Santa Barbara,2009,-1.62,1,58555,NA,NA,1.095
Santa Barbara,2010,1.98,1,56243,1.42,128.57,2.5208333333333335
Santa Barbara,2011,3.3,1,59494,NA,NA,1.3633333333333333
Santa Barbara,2012,-2.06,1,60683,NA,NA,1.0425
Santa Barbara,2013,-4.17,1,60803,NA,NA,0.32833333333333337
Santa Barbara,2014,-5.32,1,62116,NA,NA,1.1008333333333333
Santa Barbara,2015,-4.32,1,63049,7.68,113.39,0.42083333333333334
Santa Barbara,2016,-2.52,1,66360,NA,NA,1.3325
Shasta,2008,-4.37,1,42362,NA,NA,2.430833333333333
Shasta,2009,-0.4,1,42552,NA,NA,2.9591666666666665
Shasta,2010,2.43,1,41058,49.92,66.81,4.569166666666667
Shasta,2011,2.61,1,41796,NA,NA,2.964166666666667
Shasta,2012,-1.33,1,44477,NA,NA,4.23
Shasta,2013,-2.66,1,41236,NA,NA,1.2308333333333332
Shasta,2014,-3.3,1,43661,NA,NA,3.71
Shasta,2015,-4.58,1,45943,34.11,60.5,2.3041666666666667
Shasta,2016,2.97,1,46663,NA,NA,4.7675
Sierra,2008,-4.72,0,44282,NA,NA,2.7325
Sierra,2009,-1.83,0,41788,NA,NA,3.1966666666666668
Sierra,2010,2.51,0,42800,0,15.16,5.060833333333333
Sierra,2011,2.84,0,45060,NA,NA,3.339166666666667
Sierra,2012,-1.66,0,45157,NA,NA,4.5808333333333335
Sierra,2013,-2.68,0,46449,NA,NA,1.1308333333333334
Sierra,2014,-3.26,0,47293,NA,NA,3.4899999999999998
Sierra,2015,-3.18,0,47535,8.78,19.25,2.5908333333333333
Sierra,2016,3.03,0,48099,NA,NA,5.0475
Siskiyou,2008,-3.15,0,36823,NA,NA,2.3808333333333334
Siskiyou,2009,-1.81,0,39218,NA,NA,2.2483333333333335
Siskiyou,2010,2.03,0,36001,50.56,189.15,3.8941666666666666
Siskiyou,2011,1.11,0,35175,NA,NA,2.586666666666667
Siskiyou,2012,-1,0,36597,NA,NA,3.763333333333333
Siskiyou,2013,-1.99,0,37108,NA,NA,1.3433333333333333
Siskiyou,2014,-2.17,0,38641,NA,NA,3.0516666666666667
Siskiyou,2015,-3.74,0,37447,36.12,177.86,2.695
Siskiyou,2016,3.05,0,40875,NA,NA,4.0775
Solano,2008,-3.84,1,70173,NA,NA,1.3441666666666667
Solano,2009,-0.32,1,65079,NA,NA,1.5133333333333334
Solano,2010,1.65,1,62948,99.01,184.23,2.220833333333333
Solano,2011,2.89,1,63090,NA,NA,1.43
Solano,2012,-0.66,1,61976,NA,NA,2.0733333333333333
Solano,2013,-2.87,1,63398,NA,NA,0.425
Solano,2014,-4.16,1,67106,NA,NA,1.8366666666666667
Solano,2015,-3.83,1,67202,161.91,172.13,0.7283333333333334
Solano,2016,0.01,1,73200,NA,NA,1.905
Sonoma,2008,-4.61,1,62314,NA,NA,2.5733333333333333
Sonoma,2009,-0.53,1,61985,NA,NA,2.4608333333333334
Sonoma,2010,3.34,1,58703,9.28,90.99,4.744166666666667
Sonoma,2011,3.66,1,60792,NA,NA,2.7375
Sonoma,2012,0.08,1,59855,NA,NA,4.2525
Sonoma,2013,-3.05,1,61020,NA,NA,0.8433333333333334
Sonoma,2014,-3.33,1,66949,NA,NA,3.6825
Sonoma,2015,-4.46,1,66463,1.94,92.02,1.7858333333333332
Sonoma,2016,2.5,1,73496,NA,NA,4.13
Stanislaus,2008,-4.37,1,50094,NA,NA,0.8866666666666667
